SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99992.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0
99991.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
99990.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0
99990.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0
99987.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99987.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99986.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0
99984.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,9.0
99980.0,3.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,12.0
99979.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,12.0
99978.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,11.0
99977.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,11.0
99975.0,1.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,14.0,25.0,11.0
99968.0,3.0,7.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,14.0,32.0,18.0
99964.0,4.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,36.0,18.0
99963.0,5.0,6.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,18.0,37.0,19.0
99959.0,5.0,9.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,18.0,41.0,23.0
99953.0,9.0,9.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,19.0,47.0,28.0
99942.0,13.0,13.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,21.0,58.0,37.0
99932.0,16.0,17.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,24.0,68.0,44.0
99921.0,20.0,20.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,29.0,79.0,50.0
99909.0,22.0,25.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,31.0,91.0,59.0
99893.0,27.0,26.0,5.0,12.0,2.0,0.0,0.0,1.0,0.0,34.0,107.0,72.0
99875.0,28.0,26.0,8.0,19.0,1.0,1.0,0.0,1.0,0.0,41.0,125.0,83.0
99854.0,30.0,30.0,11.0,22.0,1.0,0.0,0.0,1.0,0.0,51.0,146.0,94.0
99835.0,32.0,37.0,14.0,23.0,2.0,0.0,0.0,1.0,0.0,56.0,165.0,108.0
99805.0,36.0,49.0,12.0,21.0,5.0,0.0,0.0,1.0,0.0,71.0,195.0,123.0
99781.0,38.0,55.0,13.0,23.0,8.0,0.0,0.0,1.0,0.0,81.0,219.0,137.0
99741.0,46.0,62.0,18.0,31.0,8.0,1.0,0.0,1.0,0.0,92.0,259.0,166.0
