SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0
99991.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0
99986.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0
99986.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0
99982.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,14.0
99977.0,5.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,23.0,17.0
99974.0,6.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,26.0,19.0
99968.0,7.0,8.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,8.0,32.0,24.0
99959.0,12.0,11.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,8.0,41.0,33.0
99948.0,11.0,19.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,12.0,52.0,40.0
99938.0,16.0,16.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,14.0,62.0,48.0
99923.0,16.0,27.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,19.0,77.0,58.0
99909.0,15.0,32.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,25.0,91.0,66.0
99895.0,16.0,31.0,5.0,19.0,2.0,1.0,0.0,0.0,0.0,31.0,105.0,74.0
99872.0,19.0,36.0,7.0,25.0,4.0,0.0,0.0,0.0,0.0,37.0,128.0,91.0
99848.0,24.0,42.0,10.0,25.0,4.0,0.0,0.0,0.0,0.0,47.0,152.0,105.0
99815.0,29.0,55.0,13.0,25.0,5.0,0.0,0.0,0.0,0.0,58.0,185.0,127.0
99785.0,40.0,58.0,12.0,28.0,8.0,0.0,0.0,0.0,0.0,69.0,215.0,146.0
99753.0,49.0,60.0,12.0,37.0,11.0,0.0,0.0,0.0,0.0,78.0,247.0,169.0
99712.0,59.0,69.0,12.0,45.0,13.0,1.0,0.0,0.0,0.0,89.0,288.0,199.0
99639.0,76.0,91.0,23.0,47.0,12.0,0.0,0.0,0.0,0.0,112.0,361.0,249.0
99583.0,93.0,108.0,21.0,46.0,18.0,0.0,0.0,0.0,0.0,131.0,417.0,286.0
99516.0,105.0,128.0,29.0,54.0,18.0,0.0,0.0,0.0,0.0,150.0,484.0,334.0
99436.0,117.0,150.0,32.0,65.0,16.0,2.0,0.0,0.0,0.0,182.0,564.0,382.0
99347.0,130.0,164.0,36.0,92.0,22.0,2.0,0.0,0.0,0.0,207.0,653.0,446.0
99220.0,153.0,215.0,43.0,101.0,23.0,1.0,0.0,0.0,0.0,244.0,780.0,536.0
99098.0,176.0,239.0,48.0,116.0,28.0,1.0,0.0,0.0,0.0,294.0,902.0,608.0
98949.0,202.0,276.0,51.0,144.0,35.0,0.0,0.0,1.0,0.0,342.0,1051.0,708.0
98765.0,231.0,338.0,49.0,165.0,43.0,2.0,0.0,1.0,0.0,406.0,1235.0,828.0
