SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99992.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0
99991.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0
99988.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0
99988.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0
99987.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99984.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0
99978.0,4.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,22.0,15.0
99976.0,4.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,24.0,15.0
99973.0,5.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,9.0,27.0,18.0
99968.0,5.0,7.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,10.0,32.0,22.0
99963.0,5.0,9.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,37.0,24.0
99951.0,6.0,20.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,15.0,49.0,34.0
99943.0,6.0,21.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,18.0,57.0,39.0
99933.0,8.0,22.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,21.0,67.0,46.0
99926.0,7.0,23.0,6.0,11.0,4.0,0.0,0.0,0.0,0.0,23.0,74.0,51.0
99909.0,10.0,29.0,8.0,11.0,5.0,0.0,0.0,0.0,0.0,28.0,91.0,63.0
99889.0,17.0,30.0,9.0,19.0,6.0,0.0,0.0,0.0,0.0,30.0,111.0,81.0
99871.0,22.0,37.0,9.0,22.0,4.0,0.0,0.0,0.0,0.0,35.0,129.0,94.0
99837.0,31.0,52.0,13.0,20.0,2.0,2.0,0.0,0.0,0.0,43.0,163.0,120.0
99811.0,34.0,59.0,13.0,23.0,8.0,1.0,0.0,0.0,0.0,51.0,189.0,138.0
99783.0,39.0,61.0,14.0,33.0,9.0,1.0,0.0,0.0,0.0,60.0,217.0,157.0
99739.0,48.0,74.0,16.0,42.0,7.0,0.0,0.0,1.0,0.0,73.0,261.0,187.0
99691.0,59.0,83.0,20.0,49.0,11.0,0.0,0.0,1.0,0.0,86.0,309.0,222.0
99628.0,74.0,103.0,25.0,51.0,11.0,0.0,0.0,1.0,0.0,107.0,372.0,264.0
99568.0,90.0,116.0,32.0,60.0,11.0,0.0,0.0,1.0,0.0,122.0,432.0,309.0
99485.0,100.0,144.0,35.0,69.0,14.0,2.0,0.0,1.0,0.0,150.0,515.0,364.0
99396.0,129.0,159.0,32.0,84.0,21.0,1.0,0.0,1.0,0.0,177.0,604.0,426.0
99285.0,157.0,190.0,32.0,96.0,29.0,1.0,0.0,1.0,0.0,209.0,715.0,505.0
99181.0,170.0,211.0,37.0,119.0,30.0,2.0,0.0,2.0,0.0,248.0,819.0,569.0
