SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99991.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
99990.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99988.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0
99981.0,3.0,7.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,19.0,15.0
99981.0,3.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0
99979.0,5.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,21.0,14.0
99976.0,5.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,24.0,17.0
99971.0,4.0,5.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,9.0,29.0,20.0
99964.0,5.0,8.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,11.0,36.0,25.0
99958.0,7.0,11.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,12.0,42.0,30.0
99951.0,6.0,15.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,14.0,49.0,35.0
99948.0,5.0,15.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,18.0,52.0,34.0
99937.0,8.0,18.0,4.0,8.0,3.0,0.0,0.0,1.0,0.0,21.0,63.0,41.0
99928.0,7.0,23.0,5.0,10.0,4.0,0.0,0.0,1.0,0.0,22.0,72.0,49.0
99923.0,6.0,21.0,3.0,12.0,6.0,0.0,0.0,1.0,0.0,28.0,77.0,48.0
99904.0,10.0,28.0,5.0,14.0,5.0,0.0,0.0,1.0,0.0,33.0,96.0,62.0
99885.0,14.0,35.0,6.0,20.0,5.0,0.0,0.0,1.0,0.0,34.0,115.0,80.0
99855.0,21.0,42.0,10.0,23.0,6.0,1.0,0.0,1.0,0.0,41.0,145.0,103.0
99830.0,28.0,51.0,11.0,23.0,7.0,0.0,0.0,1.0,0.0,49.0,170.0,120.0
99795.0,33.0,68.0,16.0,25.0,5.0,1.0,0.0,1.0,0.0,56.0,205.0,148.0
99767.0,39.0,69.0,16.0,34.0,7.0,2.0,0.0,1.0,0.0,65.0,233.0,167.0
99712.0,50.0,94.0,15.0,39.0,13.0,1.0,0.0,1.0,0.0,75.0,288.0,212.0
99659.0,62.0,115.0,14.0,46.0,14.0,0.0,0.0,2.0,0.0,88.0,341.0,251.0
99601.0,73.0,121.0,19.0,62.0,14.0,0.0,0.0,2.0,0.0,108.0,399.0,289.0
99538.0,89.0,134.0,19.0,70.0,15.0,0.0,0.0,2.0,0.0,133.0,462.0,327.0
99462.0,100.0,145.0,21.0,92.0,19.0,0.0,0.0,2.0,0.0,159.0,538.0,377.0
99362.0,120.0,182.0,23.0,101.0,18.0,3.0,0.0,2.0,0.0,189.0,638.0,447.0
99233.0,141.0,217.0,36.0,121.0,21.0,5.0,0.0,2.0,0.0,224.0,767.0,541.0
99093.0,164.0,267.0,48.0,132.0,22.0,2.0,0.0,2.0,0.0,270.0,907.0,635.0
