SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99992.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
99990.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0
99989.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0
99989.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99987.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99985.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0
99983.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,10.0
99981.0,5.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,19.0,12.0
99977.0,5.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,23.0,15.0
99971.0,4.0,9.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,29.0,19.0
99960.0,9.0,11.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,11.0,40.0,29.0
99955.0,11.0,10.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,11.0,45.0,34.0
99943.0,15.0,9.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,13.0,57.0,44.0
99933.0,17.0,11.0,11.0,9.0,0.0,1.0,0.0,0.0,0.0,18.0,67.0,49.0
99921.0,19.0,15.0,10.0,10.0,2.0,1.0,0.0,0.0,0.0,22.0,79.0,57.0
99901.0,21.0,27.0,9.0,11.0,6.0,1.0,0.0,0.0,0.0,24.0,99.0,75.0
99891.0,20.0,31.0,9.0,9.0,7.0,0.0,0.0,1.0,0.0,32.0,109.0,76.0
99868.0,23.0,36.0,9.0,16.0,8.0,0.0,0.0,1.0,0.0,39.0,132.0,92.0
99845.0,31.0,43.0,10.0,19.0,10.0,0.0,0.0,1.0,0.0,41.0,155.0,113.0
99815.0,40.0,52.0,10.0,21.0,10.0,0.0,0.0,1.0,0.0,51.0,185.0,133.0
99782.0,45.0,61.0,9.0,33.0,10.0,1.0,0.0,1.0,0.0,58.0,218.0,159.0
99742.0,53.0,70.0,13.0,37.0,10.0,2.0,0.0,1.0,0.0,72.0,258.0,185.0
99697.0,61.0,83.0,17.0,39.0,11.0,3.0,0.0,1.0,0.0,88.0,303.0,214.0
99649.0,68.0,91.0,16.0,57.0,17.0,3.0,0.0,1.0,0.0,98.0,351.0,252.0
99570.0,79.0,126.0,20.0,62.0,17.0,2.0,0.0,3.0,0.0,121.0,430.0,306.0
99485.0,96.0,157.0,23.0,68.0,20.0,2.0,0.0,4.0,0.0,145.0,515.0,366.0
99406.0,111.0,177.0,24.0,80.0,22.0,2.0,0.0,4.0,0.0,174.0,594.0,416.0
99302.0,133.0,193.0,31.0,102.0,23.0,2.0,0.0,4.0,0.0,210.0,698.0,484.0
