SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99994.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0
99991.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0
99989.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0
99985.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0
99981.0,2.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0
99980.0,3.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,20.0,14.0
99979.0,2.0,6.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,21.0,14.0
99970.0,5.0,9.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,7.0,30.0,23.0
99960.0,7.0,13.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,7.0,40.0,33.0
99945.0,10.0,21.0,3.0,10.0,2.0,1.0,0.0,0.0,0.0,8.0,55.0,47.0
99938.0,13.0,23.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,12.0,62.0,50.0
99932.0,14.0,21.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,18.0,68.0,50.0
99921.0,14.0,24.0,4.0,13.0,0.0,1.0,0.0,0.0,0.0,23.0,79.0,56.0
99905.0,17.0,29.0,5.0,16.0,2.0,0.0,0.0,0.0,0.0,26.0,95.0,69.0
99883.0,23.0,31.0,8.0,18.0,3.0,0.0,0.0,0.0,0.0,34.0,117.0,83.0
99853.0,34.0,42.0,6.0,17.0,7.0,0.0,0.0,0.0,0.0,41.0,147.0,106.0
99832.0,40.0,42.0,7.0,27.0,5.0,0.0,0.0,0.0,0.0,47.0,168.0,121.0
99802.0,40.0,60.0,10.0,24.0,5.0,0.0,0.0,0.0,0.0,59.0,198.0,139.0
99765.0,48.0,71.0,13.0,30.0,5.0,0.0,0.0,0.0,0.0,68.0,235.0,167.0
99725.0,61.0,78.0,14.0,34.0,7.0,0.0,0.0,0.0,0.0,81.0,275.0,194.0
99671.0,70.0,91.0,20.0,46.0,9.0,0.0,0.0,0.0,0.0,93.0,329.0,236.0
99602.0,77.0,115.0,24.0,54.0,12.0,1.0,0.0,0.0,0.0,115.0,398.0,283.0
99535.0,87.0,132.0,29.0,67.0,15.0,0.0,0.0,0.0,0.0,135.0,465.0,330.0
99441.0,110.0,152.0,36.0,78.0,20.0,0.0,0.0,0.0,0.0,163.0,559.0,396.0
99344.0,126.0,185.0,42.0,87.0,23.0,0.0,0.0,0.0,0.0,193.0,656.0,463.0
99238.0,147.0,199.0,44.0,116.0,28.0,2.0,0.0,0.0,0.0,226.0,762.0,536.0
99075.0,184.0,258.0,48.0,131.0,29.0,0.0,0.0,0.0,0.0,275.0,925.0,650.0
98913.0,219.0,306.0,52.0,148.0,37.0,1.0,0.0,0.0,0.0,324.0,1087.0,763.0
98721.0,270.0,359.0,49.0,172.0,43.0,2.0,0.0,0.0,0.0,384.0,1279.0,895.0
