SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99990.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
99990.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99989.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0
99988.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0
99987.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,13.0,10.0
99983.0,2.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0
99982.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,12.0
99981.0,3.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,12.0
99976.0,4.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,16.0
99972.0,4.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,19.0
99971.0,4.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,17.0
99967.0,4.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,19.0
99963.0,5.0,6.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,16.0,37.0,21.0
99960.0,4.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,19.0,40.0,21.0
99956.0,5.0,6.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,20.0,44.0,24.0
99948.0,8.0,10.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,21.0,52.0,31.0
99937.0,10.0,18.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,24.0,63.0,39.0
99926.0,10.0,24.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,32.0,74.0,42.0
99918.0,10.0,28.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,33.0,82.0,49.0
99901.0,15.0,29.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,39.0,99.0,60.0
99887.0,18.0,31.0,5.0,16.0,2.0,0.0,0.0,0.0,0.0,41.0,113.0,72.0
99865.0,28.0,33.0,5.0,25.0,2.0,0.0,0.0,0.0,0.0,42.0,135.0,93.0
99830.0,39.0,43.0,8.0,30.0,3.0,0.0,0.0,0.0,0.0,47.0,170.0,123.0
99800.0,48.0,52.0,11.0,30.0,3.0,0.0,0.0,0.0,0.0,56.0,200.0,144.0
99772.0,50.0,60.0,10.0,40.0,4.0,1.0,0.0,0.0,0.0,63.0,228.0,165.0
99727.0,58.0,77.0,10.0,39.0,7.0,1.0,0.0,0.0,0.0,81.0,273.0,192.0
99671.0,73.0,93.0,14.0,46.0,7.0,1.0,0.0,0.0,0.0,95.0,329.0,234.0
99618.0,85.0,98.0,22.0,55.0,10.0,0.0,0.0,1.0,0.0,111.0,382.0,270.0
