SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99994.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99991.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
99989.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0
99987.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,10.0
99986.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,11.0
99986.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0
99982.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,12.0
99980.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,12.0
99980.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,11.0
99977.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,12.0
99975.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,13.0
99974.0,3.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,13.0
99971.0,2.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,29.0,13.0
99967.0,2.0,9.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,33.0,17.0
99959.0,3.0,12.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,18.0,41.0,23.0
99949.0,4.0,19.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,18.0,51.0,33.0
99945.0,4.0,23.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,21.0,55.0,34.0
99941.0,4.0,17.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,23.0,59.0,36.0
99922.0,6.0,27.0,6.0,12.0,1.0,2.0,0.0,0.0,0.0,24.0,78.0,54.0
99910.0,8.0,32.0,4.0,17.0,3.0,0.0,0.0,0.0,0.0,26.0,90.0,64.0
99898.0,10.0,32.0,3.0,21.0,4.0,1.0,0.0,0.0,0.0,31.0,102.0,71.0
99872.0,15.0,47.0,2.0,21.0,5.0,0.0,0.0,0.0,0.0,38.0,128.0,90.0
99850.0,18.0,47.0,5.0,31.0,4.0,0.0,0.0,0.0,0.0,45.0,150.0,105.0
99818.0,27.0,58.0,10.0,33.0,5.0,0.0,0.0,0.0,0.0,49.0,182.0,133.0
99778.0,37.0,68.0,13.0,37.0,6.0,0.0,0.0,0.0,0.0,61.0,222.0,161.0
99736.0,46.0,77.0,20.0,45.0,6.0,0.0,0.0,0.0,0.0,70.0,264.0,194.0
99680.0,63.0,92.0,21.0,49.0,10.0,1.0,0.0,0.0,0.0,84.0,320.0,236.0
99621.0,83.0,104.0,22.0,56.0,9.0,2.0,0.0,0.0,0.0,103.0,379.0,276.0
99552.0,102.0,110.0,32.0,67.0,13.0,1.0,0.0,0.0,0.0,123.0,448.0,325.0
99460.0,126.0,133.0,32.0,80.0,17.0,0.0,0.0,1.0,0.0,151.0,540.0,388.0
