SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99992.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
99991.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
99988.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,10.0
99988.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0
99988.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,12.0,8.0
99987.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99984.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0
99981.0,4.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0
99975.0,3.0,10.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,25.0,18.0
99971.0,4.0,12.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,29.0,21.0
99970.0,4.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,30.0,19.0
99964.0,5.0,12.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,12.0,36.0,24.0
99959.0,7.0,10.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,12.0,41.0,29.0
99944.0,11.0,18.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,14.0,56.0,42.0
99929.0,12.0,24.0,4.0,13.0,1.0,1.0,0.0,0.0,0.0,16.0,71.0,55.0
99907.0,18.0,29.0,9.0,15.0,3.0,1.0,0.0,0.0,0.0,18.0,93.0,75.0
99898.0,18.0,26.0,11.0,19.0,3.0,1.0,0.0,0.0,0.0,24.0,102.0,78.0
99871.0,23.0,36.0,14.0,21.0,3.0,0.0,1.0,0.0,0.0,31.0,129.0,98.0
99853.0,23.0,41.0,16.0,25.0,5.0,0.0,0.0,1.0,0.0,36.0,147.0,110.0
99826.0,26.0,53.0,12.0,27.0,9.0,0.0,0.0,1.0,0.0,46.0,174.0,127.0
99790.0,33.0,69.0,11.0,28.0,11.0,1.0,0.0,1.0,0.0,56.0,210.0,153.0
99747.0,46.0,80.0,12.0,36.0,12.0,3.0,0.0,1.0,0.0,63.0,253.0,189.0
99699.0,55.0,96.0,10.0,47.0,15.0,1.0,0.0,1.0,0.0,76.0,301.0,224.0
99635.0,68.0,118.0,17.0,56.0,16.0,0.0,1.0,1.0,0.0,88.0,365.0,276.0
99575.0,78.0,136.0,21.0,66.0,14.0,2.0,0.0,2.0,0.0,106.0,425.0,317.0
99500.0,96.0,165.0,19.0,70.0,14.0,1.0,0.0,2.0,0.0,133.0,500.0,365.0
99400.0,113.0,190.0,26.0,88.0,14.0,1.0,0.0,2.0,0.0,166.0,600.0,432.0
99292.0,125.0,207.0,34.0,115.0,20.0,1.0,0.0,2.0,0.0,204.0,708.0,502.0
99144.0,158.0,247.0,52.0,140.0,18.0,3.0,0.0,2.0,0.0,236.0,856.0,618.0
98962.0,194.0,306.0,58.0,168.0,22.0,4.0,0.0,2.0,0.0,284.0,1038.0,752.0
