SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99992.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
99990.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0
99985.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0
99985.0,3.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0
99984.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0
99981.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,13.0
99974.0,6.0,4.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,26.0,20.0
99966.0,8.0,9.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,34.0,25.0
99965.0,7.0,9.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,35.0,25.0
99952.0,9.0,18.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,48.0,37.0
99943.0,13.0,19.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,57.0,43.0
99929.0,16.0,21.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,18.0,71.0,53.0
99913.0,17.0,30.0,6.0,11.0,3.0,1.0,0.0,0.0,0.0,19.0,87.0,68.0
99887.0,26.0,36.0,9.0,12.0,2.0,0.0,0.0,0.0,0.0,28.0,113.0,85.0
99858.0,36.0,45.0,9.0,18.0,2.0,0.0,0.0,0.0,0.0,32.0,142.0,110.0
99827.0,42.0,53.0,6.0,26.0,6.0,0.0,0.0,0.0,0.0,40.0,173.0,133.0
99785.0,54.0,63.0,8.0,36.0,8.0,0.0,0.0,0.0,0.0,46.0,215.0,169.0
99741.0,69.0,75.0,13.0,40.0,9.0,0.0,0.0,0.0,0.0,53.0,259.0,206.0
99686.0,80.0,88.0,14.0,48.0,9.0,0.0,0.0,0.0,0.0,75.0,314.0,239.0
99631.0,88.0,105.0,18.0,55.0,8.0,1.0,0.0,0.0,0.0,94.0,369.0,275.0
99560.0,86.0,122.0,26.0,71.0,8.0,1.0,0.0,0.0,0.0,126.0,440.0,314.0
99485.0,96.0,148.0,32.0,82.0,11.0,1.0,0.0,0.0,0.0,145.0,515.0,370.0
99366.0,117.0,194.0,36.0,94.0,17.0,0.0,0.0,1.0,0.0,175.0,634.0,458.0
99250.0,134.0,225.0,43.0,103.0,19.0,0.0,0.0,1.0,0.0,225.0,750.0,524.0
99133.0,164.0,238.0,43.0,134.0,30.0,0.0,0.0,1.0,0.0,257.0,867.0,609.0
98993.0,194.0,271.0,45.0,158.0,35.0,1.0,0.0,1.0,0.0,302.0,1007.0,704.0
98825.0,226.0,317.0,42.0,183.0,52.0,1.0,0.0,1.0,0.0,353.0,1175.0,821.0
98586.0,282.0,392.0,60.0,203.0,46.0,2.0,0.0,1.0,0.0,428.0,1414.0,985.0
