SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
99991.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0
99987.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,11.0
99983.0,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0
99983.0,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0
99982.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,10.0
99978.0,4.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,14.0
99972.0,6.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,20.0
99965.0,10.0,7.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,35.0,26.0
99957.0,13.0,8.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,9.0,43.0,34.0
99948.0,17.0,9.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,11.0,52.0,41.0
99937.0,19.0,14.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,15.0,63.0,48.0
99921.0,23.0,24.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,19.0,79.0,60.0
99904.0,30.0,27.0,7.0,6.0,4.0,0.0,0.0,0.0,0.0,22.0,96.0,74.0
99884.0,38.0,28.0,7.0,13.0,5.0,0.0,0.0,0.0,0.0,25.0,116.0,91.0
99859.0,44.0,35.0,9.0,17.0,4.0,1.0,0.0,0.0,0.0,31.0,141.0,110.0
99835.0,41.0,46.0,11.0,18.0,5.0,0.0,0.0,0.0,0.0,44.0,165.0,121.0
99801.0,52.0,57.0,11.0,26.0,6.0,0.0,0.0,0.0,0.0,47.0,199.0,152.0
99759.0,55.0,74.0,13.0,32.0,8.0,1.0,0.0,0.0,0.0,58.0,241.0,183.0
99709.0,66.0,87.0,17.0,36.0,8.0,1.0,0.0,0.0,0.0,76.0,291.0,215.0
99655.0,72.0,102.0,22.0,49.0,7.0,0.0,0.0,0.0,0.0,93.0,345.0,252.0
99585.0,82.0,129.0,23.0,61.0,8.0,1.0,0.0,0.0,0.0,111.0,415.0,304.0
99504.0,92.0,151.0,27.0,73.0,13.0,0.0,0.0,0.0,0.0,140.0,496.0,356.0
99408.0,111.0,173.0,26.0,96.0,22.0,1.0,0.0,0.0,0.0,163.0,592.0,429.0
99266.0,144.0,208.0,43.0,121.0,23.0,2.0,0.0,0.0,0.0,193.0,734.0,541.0
99103.0,181.0,276.0,49.0,130.0,22.0,2.0,0.0,0.0,0.0,237.0,897.0,660.0
98935.0,201.0,328.0,56.0,154.0,25.0,1.0,0.0,1.0,0.0,299.0,1065.0,765.0
98746.0,239.0,381.0,60.0,182.0,36.0,0.0,0.0,2.0,0.0,354.0,1254.0,898.0
98534.0,286.0,422.0,77.0,219.0,41.0,0.0,0.0,2.0,0.0,419.0,1466.0,1045.0
