SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99994.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
99993.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99993.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99991.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0
99989.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99989.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99989.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0
99987.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99982.0,2.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,18.0,12.0
99979.0,2.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,21.0,14.0
99977.0,3.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,23.0,16.0
99976.0,3.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,24.0,15.0
99968.0,3.0,8.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,10.0,32.0,22.0
99956.0,10.0,12.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,11.0,44.0,33.0
99946.0,14.0,17.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,13.0,54.0,41.0
99944.0,15.0,12.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,15.0,56.0,41.0
99933.0,18.0,11.0,3.0,14.0,4.0,1.0,0.0,0.0,0.0,16.0,67.0,51.0
99901.0,24.0,26.0,9.0,15.0,4.0,0.0,0.0,0.0,0.0,21.0,99.0,78.0
99879.0,26.0,33.0,14.0,19.0,5.0,0.0,0.0,0.0,0.0,24.0,121.0,97.0
99846.0,36.0,48.0,14.0,13.0,6.0,1.0,0.0,0.0,0.0,36.0,154.0,118.0
99824.0,42.0,47.0,15.0,20.0,10.0,0.0,0.0,0.0,0.0,42.0,176.0,134.0
99788.0,50.0,60.0,16.0,24.0,11.0,0.0,0.0,0.0,0.0,51.0,212.0,161.0
99742.0,57.0,79.0,15.0,32.0,14.0,1.0,0.0,0.0,0.0,60.0,258.0,198.0
99679.0,71.0,101.0,13.0,41.0,17.0,1.0,0.0,0.0,0.0,77.0,321.0,244.0
99606.0,86.0,134.0,16.0,47.0,18.0,0.0,0.0,0.0,0.0,93.0,394.0,301.0
99546.0,101.0,141.0,18.0,66.0,17.0,1.0,0.0,0.0,0.0,110.0,454.0,344.0
99451.0,108.0,178.0,22.0,80.0,18.0,2.0,0.0,0.0,0.0,141.0,549.0,408.0
99357.0,124.0,192.0,26.0,103.0,19.0,2.0,0.0,0.0,0.0,177.0,643.0,466.0
99220.0,151.0,229.0,41.0,130.0,15.0,4.0,0.0,0.0,0.0,210.0,780.0,570.0
99046.0,204.0,273.0,53.0,157.0,15.0,3.0,0.0,1.0,0.0,248.0,954.0,705.0
