SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0
99991.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0
99991.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0
99989.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0
99987.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,9.0
99987.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0
99984.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0
99983.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,12.0
99977.0,3.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,18.0
99971.0,5.0,10.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,29.0,22.0
99964.0,5.0,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,26.0
99955.0,6.0,18.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,45.0,33.0
99948.0,6.0,20.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,14.0,52.0,38.0
99936.0,8.0,20.0,4.0,15.0,3.0,0.0,0.0,0.0,0.0,14.0,64.0,50.0
99907.0,14.0,32.0,11.0,17.0,3.0,0.0,0.0,0.0,0.0,16.0,93.0,77.0
99885.0,20.0,39.0,12.0,22.0,3.0,0.0,0.0,0.0,0.0,19.0,115.0,96.0
99862.0,28.0,43.0,11.0,23.0,5.0,0.0,0.0,0.0,0.0,28.0,138.0,110.0
99824.0,39.0,53.0,11.0,30.0,9.0,0.0,0.0,0.0,0.0,34.0,176.0,142.0
99786.0,49.0,68.0,13.0,31.0,8.0,0.0,0.0,0.0,0.0,45.0,214.0,169.0
99740.0,56.0,86.0,14.0,38.0,12.0,0.0,0.0,0.0,0.0,54.0,260.0,206.0
99681.0,77.0,97.0,18.0,48.0,13.0,0.0,0.0,0.0,0.0,66.0,319.0,253.0
99623.0,85.0,110.0,20.0,66.0,16.0,0.0,0.0,0.0,0.0,80.0,377.0,297.0
99546.0,98.0,133.0,28.0,72.0,13.0,2.0,0.0,0.0,0.0,108.0,454.0,346.0
99463.0,110.0,152.0,37.0,86.0,16.0,1.0,0.0,0.0,0.0,135.0,537.0,402.0
99335.0,133.0,204.0,43.0,93.0,16.0,1.0,0.0,0.0,0.0,175.0,665.0,490.0
99224.0,147.0,233.0,41.0,119.0,25.0,1.0,0.0,1.0,0.0,209.0,776.0,566.0
99077.0,181.0,274.0,41.0,140.0,32.0,0.0,0.0,1.0,0.0,254.0,923.0,668.0
98916.0,205.0,313.0,49.0,173.0,43.0,0.0,0.0,1.0,0.0,300.0,1084.0,783.0
98715.0,245.0,350.0,63.0,217.0,47.0,1.0,0.0,1.0,0.0,361.0,1285.0,923.0
