SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99995.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
99993.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0
99991.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
99990.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0
99987.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,10.0
99985.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0
99983.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0
99981.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,11.0
99979.0,3.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,13.0
99977.0,3.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,23.0,15.0
99970.0,5.0,7.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0
99964.0,6.0,11.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,10.0,36.0,26.0
99960.0,6.0,11.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,16.0,40.0,24.0
99956.0,7.0,12.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,17.0,44.0,27.0
99950.0,7.0,12.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,50.0,27.0
99940.0,12.0,12.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,24.0,60.0,36.0
99931.0,14.0,15.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,26.0,69.0,43.0
99916.0,17.0,18.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,28.0,84.0,56.0
99902.0,20.0,26.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,35.0,98.0,63.0
99888.0,24.0,29.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,37.0,112.0,75.0
99874.0,23.0,35.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,49.0,126.0,77.0
99850.0,26.0,39.0,5.0,16.0,4.0,0.0,0.0,0.0,0.0,60.0,150.0,90.0
99823.0,29.0,47.0,8.0,22.0,4.0,1.0,0.0,0.0,0.0,66.0,177.0,111.0
99793.0,34.0,55.0,13.0,29.0,4.0,1.0,0.0,0.0,0.0,71.0,207.0,136.0
99757.0,46.0,60.0,18.0,33.0,4.0,1.0,0.0,0.0,0.0,81.0,243.0,162.0
99722.0,53.0,64.0,21.0,35.0,7.0,0.0,1.0,0.0,0.0,97.0,278.0,181.0
99673.0,70.0,71.0,19.0,50.0,14.0,0.0,1.0,0.0,0.0,102.0,327.0,225.0
99615.0,76.0,100.0,24.0,52.0,13.0,0.0,0.0,1.0,0.0,119.0,385.0,265.0
99548.0,91.0,118.0,27.0,57.0,17.0,1.0,0.0,1.0,0.0,140.0,452.0,311.0
99459.0,110.0,144.0,28.0,67.0,21.0,0.0,0.0,1.0,0.0,170.0,541.0,370.0
